stage,input_size_factor,runtime,source
sort_index,1.0,635.0,wfcommons
markdup,1.0,604.5,wfcommons
quant,1.0,375.5,wfcommons
fastqc,0.5,75.0,wfcommons
trimming,0.5,146.5,wfcommons
alignment,0.5,1301.5,wfcommons
sort_index,0.5,177.5,wfcommons
markdup,0.5,373.5,wfcommons
quant,0.5,175.5,wfcommons
fastqc,0.5,63.0,wfcommons
trimming,0.5,111.0,wfcommons
alignment,0.5,799.5,wfcommons
sort_index,0.5,244.5,wfcommons
markdup,0.5,481.5,wfcommons
quant,0.5,124.0,wfcommons
fastqc,0.5,82.5,wfcommons
trimming,0.5,126.0,wfcommons
alignment,0.5,783.5,wfcommons
sort_index,0.5,251.5,wfcommons
markdup,0.5,235.0,wfcommons
quant,0.5,142.0,wfcommons
fastqc,0.996,118.2,synthetic
trimming,0.996,201.5,synthetic
alignment,0.996,4349.1,synthetic
sort_index,0.996,568.3,synthetic
markdup,0.996,601.3,synthetic
quant,0.996,222.4,synthetic
fastqc,0.974,221.9,synthetic
trimming,0.974,222.2,synthetic
alignment,0.974,2164.6,synthetic
sort_index,0.974,404.8,synthetic
markdup,0.974,520.3,synthetic
quant,0.974,319.6,synthetic
fastqc,4.623,229.2,synthetic
trimming,4.623,3302.9,synthetic
alignment,4.623,1428.4,synthetic
sort_index,4.623,1889.0,synthetic
markdup,4.623,1688.3,synthetic
quant,4.623,1211.6,synthetic
fastqc,2.244,116.4,synthetic
trimming,2.244,733.5,synthetic
alignment,2.244,2146.6,synthetic
sort_index,2.244,388.9,synthetic
markdup,2.244,1136.0,synthetic
quant,2.244,1549.8,synthetic
fastqc,0.437,131.2,synthetic
trimming,0.437,893.8,synthetic
alignment,0.437,2042.9,synthetic
sort_index,0.437,160.4,synthetic
markdup,0.437,288.5,synthetic
quant,0.437,208.9,synthetic
fastqc,0.823,146.0,synthetic
trimming,0.823,1023.0,synthetic
alignment,0.823,1029.2,synthetic
sort_index,0.823,269.9,synthetic
markdup,0.823,2468.2,synthetic
quant,0.823,447.9,synthetic
fastqc,0.308,85.4,synthetic
trimming,0.308,164.5,synthetic
alignment,0.308,3326.6,synthetic
sort_index,0.308,229.0,synthetic
markdup,0.308,543.4,synthetic
quant,0.308,179.7,synthetic
fastqc,3.942,257.7,synthetic
trimming,3.942,779.8,synthetic
alignment,3.942,2692.6,synthetic
sort_index,3.942,2369.1,synthetic
markdup,3.942,1026.3,synthetic
quant,3.942,1049.0,synthetic
fastqc,0.874,292.4,synthetic
trimming,0.874,326.8,synthetic
alignment,0.874,1068.6,synthetic
sort_index,0.874,449.1,synthetic
markdup,0.874,730.7,synthetic
quant,0.874,588.3,synthetic
fastqc,1.017,123.1,synthetic
trimming,1.017,151.1,synthetic
alignment,1.017,1952.2,synthetic
sort_index,1.017,1096.1,synthetic
markdup,1.017,502.1,synthetic
quant,1.017,406.9,synthetic
fastqc,1.121,82.5,synthetic
trimming,1.121,431.0,synthetic
alignment,1.121,2253.5,synthetic
sort_index,1.121,564.1,synthetic
markdup,1.121,1832.7,synthetic
quant,1.121,452.2,synthetic
fastqc,0.791,374.4,synthetic
trimming,0.791,473.9,synthetic
alignment,0.791,2801.0,synthetic
sort_index,0.791,374.0,synthetic
markdup,0.791,712.1,synthetic
quant,0.791,349.0,synthetic
fastqc,0.2,60.2,synthetic
trimming,0.2,79.7,synthetic
alignment,0.2,1612.4,synthetic
sort_index,0.2,217.0,synthetic
markdup,0.2,164.8,synthetic
quant,0.2,502.3,synthetic
fastqc,0.308,37.8,synthetic
trimming,0.308,243.7,synthetic
alignment,0.308,762.1,synthetic
sort_index,0.308,1163.3,synthetic
markdup,0.308,576.4,synthetic
quant,0.308,221.5,synthetic
fastqc,3.162,383.1,synthetic
trimming,3.162,555.6,synthetic
alignment,3.162,10134.9,synthetic
sort_index,3.162,766.1,synthetic
markdup,3.162,1360.8,synthetic
quant,3.162,465.0,synthetic
fastqc,2.497,265.0,synthetic
trimming,2.497,778.9,synthetic
alignment,2.497,8624.0,synthetic
sort_index,2.497,560.1,synthetic
markdup,2.497,1551.1,synthetic
quant,2.497,717.7,synthetic
fastqc,2.759,215.1,synthetic
trimming,2.759,460.6,synthetic
alignment,2.759,4657.1,synthetic
sort_index,2.759,1460.4,synthetic
markdup,2.759,1369.4,synthetic
quant,2.759,788.0,synthetic
fastqc,4.508,516.8,synthetic
trimming,4.508,1969.1,synthetic
alignment,4.508,10859.7,synthetic
sort_index,4.508,2142.5,synthetic
markdup,4.508,1573.2,synthetic
quant,4.508,521.5,synthetic
fastqc,0.292,74.6,synthetic
trimming,0.292,1060.4,synthetic
alignment,0.292,1442.0,synthetic
sort_index,0.292,497.1,synthetic
markdup,0.292,837.7,synthetic
quant,0.292,123.5,synthetic
fastqc,1.234,106.1,synthetic
trimming,1.234,199.6,synthetic
alignment,1.234,3330.5,synthetic
sort_index,1.234,897.9,synthetic
markdup,1.234,1493.2,synthetic
quant,1.234,401.2,synthetic
fastqc,0.321,123.3,synthetic
trimming,0.321,115.4,synthetic
alignment,0.321,669.0,synthetic
sort_index,0.321,261.6,synthetic
markdup,0.321,439.8,synthetic
quant,0.321,81.4,synthetic
fastqc,1.199,244.5,synthetic
trimming,1.199,374.6,synthetic
alignment,1.199,1295.2,synthetic
sort_index,1.199,1286.3,synthetic
markdup,1.199,305.6,synthetic
quant,1.199,306.0,synthetic
fastqc,0.177,43.4,synthetic
trimming,0.177,63.4,synthetic
alignment,0.177,1090.2,synthetic
sort_index,0.177,364.6,synthetic
markdup,0.177,209.7,synthetic
quant,0.177,99.5,synthetic
fastqc,0.588,93.2,synthetic
trimming,0.588,320.1,synthetic
alignment,0.588,1244.7,synthetic
sort_index,0.588,117.5,synthetic
markdup,0.588,648.4,synthetic
quant,0.588,305.3,synthetic
fastqc,3.077,351.3,synthetic
trimming,3.077,439.0,synthetic
alignment,3.077,7498.9,synthetic
sort_index,3.077,868.8,synthetic
markdup,3.077,1800.7,synthetic
quant,3.077,313.9,synthetic
fastqc,0.239,67.9,synthetic
trimming,0.239,219.9,synthetic
alignment,0.239,1155.1,synthetic
sort_index,0.239,67.5,synthetic
markdup,0.239,755.9,synthetic
quant,0.239,345.0,synthetic
fastqc,2.378,95.1,synthetic
trimming,2.378,535.9,synthetic
alignment,2.378,2417.0,synthetic
sort_index,2.378,721.2,synthetic
markdup,2.378,525.5,synthetic
quant,2.378,519.8,synthetic
fastqc,5.507,408.9,synthetic
trimming,5.507,1017.7,synthetic
alignment,5.507,3261.6,synthetic
sort_index,5.507,1445.0,synthetic
markdup,5.507,1088.5,synthetic
quant,5.507,641.7,synthetic
fastqc,2.682,172.9,synthetic
trimming,2.682,818.2,synthetic
alignment,2.682,8149.4,synthetic
sort_index,2.682,381.2,synthetic
markdup,2.682,1717.6,synthetic
quant,2.682,1000.5,synthetic
fastqc,0.466,78.2,synthetic
trimming,0.466,182.3,synthetic
alignment,0.466,785.2,synthetic
sort_index,0.466,272.2,synthetic
markdup,0.466,609.0,synthetic
quant,0.466,498.0,synthetic
fastqc,5.669,175.5,synthetic
trimming,5.669,1197.1,synthetic
alignment,5.669,2890.3,synthetic
sort_index,5.669,2416.7,synthetic
markdup,5.669,1157.6,synthetic
quant,5.669,1117.4,synthetic
fastqc,2.006,166.3,synthetic
trimming,2.006,687.1,synthetic
alignment,2.006,1244.0,synthetic
sort_index,2.006,1056.9,synthetic
markdup,2.006,616.0,synthetic
quant,2.006,854.4,synthetic
fastqc,1.158,396.5,synthetic
trimming,1.158,265.1,synthetic
alignment,1.158,1905.6,synthetic
sort_index,1.158,548.3,synthetic
markdup,1.158,414.5,synthetic
quant,1.158,552.6,synthetic
fastqc,0.915,186.1,synthetic
trimming,0.915,415.8,synthetic
alignment,0.915,1158.4,synthetic
sort_index,0.915,326.5,synthetic
markdup,0.915,832.8,synthetic
quant,0.915,100.7,synthetic
fastqc,0.817,66.6,synthetic
trimming,0.817,171.4,synthetic
alignment,0.817,3035.5,synthetic
sort_index,0.817,1030.5,synthetic
markdup,0.817,1131.9,synthetic
quant,0.817,273.5,synthetic
fastqc,5.658,690.7,synthetic
trimming,5.658,1193.2,synthetic
alignment,5.658,4153.9,synthetic
sort_index,5.658,1089.5,synthetic
markdup,5.658,546.1,synthetic
quant,5.658,871.0,synthetic
fastqc,0.288,71.9,synthetic
trimming,0.288,180.2,synthetic
alignment,0.288,489.0,synthetic
sort_index,0.288,643.3,synthetic
markdup,0.288,683.9,synthetic
quant,0.288,182.1,synthetic
fastqc,5.445,427.8,synthetic
trimming,5.445,572.5,synthetic
alignment,5.445,4521.4,synthetic
sort_index,5.445,501.3,synthetic
markdup,5.445,1145.8,synthetic
quant,5.445,738.4,synthetic
fastqc,0.246,135.3,synthetic
trimming,0.246,133.3,synthetic
alignment,0.246,1724.2,synthetic
sort_index,0.246,157.5,synthetic
markdup,0.246,429.0,synthetic
quant,0.246,126.0,synthetic
fastqc,0.2,98.4,synthetic
trimming,0.2,54.1,synthetic
alignment,0.2,530.2,synthetic
sort_index,0.2,235.3,synthetic
markdup,0.2,307.7,synthetic
quant,0.2,82.2,synthetic
fastqc,0.269,62.7,synthetic
trimming,0.269,80.9,synthetic
alignment,0.269,1695.1,synthetic
sort_index,0.269,200.5,synthetic
markdup,0.269,550.0,synthetic
quant,0.269,177.8,synthetic
fastqc,2.74,175.0,synthetic
trimming,2.74,360.4,synthetic
alignment,2.74,4198.6,synthetic
sort_index,2.74,792.9,synthetic
markdup,2.74,663.6,synthetic
quant,2.74,671.4,synthetic
fastqc,4.753,432.0,synthetic
trimming,4.753,602.8,synthetic
alignment,4.753,1652.1,synthetic
sort_index,4.753,832.7,synthetic
markdup,4.753,925.9,synthetic
quant,4.753,598.7,synthetic
fastqc,2.897,315.2,synthetic
trimming,2.897,1178.1,synthetic
alignment,2.897,4789.0,synthetic
sort_index,2.897,869.3,synthetic
markdup,2.897,1392.0,synthetic
quant,2.897,556.4,synthetic
fastqc,0.561,122.9,synthetic
trimming,0.561,108.4,synthetic
alignment,0.561,2447.7,synthetic
sort_index,0.561,370.7,synthetic
markdup,0.561,1053.4,synthetic
quant,0.561,592.8,synthetic
fastqc,0.218,61.9,synthetic
trimming,0.218,112.6,synthetic
alignment,0.218,281.5,synthetic
sort_index,0.218,374.7,synthetic
markdup,0.218,107.2,synthetic
quant,0.218,268.4,synthetic
fastqc,4.869,500.5,synthetic
trimming,4.869,350.3,synthetic
alignment,4.869,2119.3,synthetic
sort_index,4.869,671.0,synthetic
markdup,4.869,1145.9,synthetic
quant,4.869,831.6,synthetic
fastqc,0.565,116.0,synthetic
trimming,0.565,412.3,synthetic
alignment,0.565,624.3,synthetic
sort_index,0.565,369.1,synthetic
markdup,0.565,326.1,synthetic
quant,0.565,242.6,synthetic
fastqc,1.121,82.0,synthetic
trimming,1.121,261.8,synthetic
alignment,1.121,1995.3,synthetic
sort_index,1.121,806.3,synthetic
markdup,1.121,182.5,synthetic
quant,1.121,774.1,synthetic
fastqc,2.091,219.6,synthetic
trimming,2.091,664.7,synthetic
alignment,2.091,4646.5,synthetic
sort_index,2.091,433.0,synthetic
markdup,2.091,599.3,synthetic
quant,2.091,646.8,synthetic
